[2025-09-02 18:21:41,430] 16 root INFO - Initiate the data ingestion
[2025-09-02 18:21:43,502] 68 root INFO - Performed train test split on dataframe
[2025-09-02 18:21:43,502] 70 root INFO - Exited split_data_as_train_test methos of Data_Ingestion class
[2025-09-02 18:21:43,503] 78 root INFO - exporting 
[2025-09-02 18:21:43,559] 19 root INFO - Data Initilization completed
[2025-09-02 18:21:43,568] 22 root INFO - initiate data validation
[2025-09-02 18:21:43,677] 32 root INFO - Required number od columns = 2
[2025-09-02 18:21:43,678] 33 root INFO - Data frame as columns:31
[2025-09-02 18:21:43,679] 32 root INFO - Required number od columns = 2
[2025-09-02 18:21:43,679] 33 root INFO - Data frame as columns:31
[2025-09-02 18:21:43,897] 25 root INFO - initiate the data validation
[2025-09-02 18:21:43,935] 30 root INFO - Entered get data_transformer_obj method of transformation class
[2025-09-02 18:21:43,936] 35 root INFO - initialized KNN Imputer
