[2025-09-07 18:51:44,913] 18 root INFO - Initiate the data ingestion
[2025-09-07 18:51:47,121] 68 root INFO - Performed train test split on dataframe
[2025-09-07 18:51:47,123] 70 root INFO - Exited split_data_as_train_test methos of Data_Ingestion class
[2025-09-07 18:51:47,123] 78 root INFO - exporting 
[2025-09-07 18:51:47,202] 21 root INFO - Data Initilization completed
[2025-09-07 18:51:47,228] 24 root INFO - initiate data validation
[2025-09-07 18:51:47,376] 32 root INFO - Required number od columns = 2
[2025-09-07 18:51:47,376] 33 root INFO - Data frame as columns:31
[2025-09-07 18:51:47,376] 32 root INFO - Required number od columns = 2
[2025-09-07 18:51:47,376] 33 root INFO - Data frame as columns:31
[2025-09-07 18:51:47,670] 27 root INFO - initiate the data validation
[2025-09-07 18:51:47,711] 30 root INFO - Entered get data_transformer_obj method of transformation class
[2025-09-07 18:51:47,711] 35 root INFO - initialized KNN Imputer
