[2025-09-07 18:49:43,715] 18 root INFO - Initiate the data ingestion
[2025-09-07 18:49:45,737] 68 root INFO - Performed train test split on dataframe
[2025-09-07 18:49:45,737] 70 root INFO - Exited split_data_as_train_test methos of Data_Ingestion class
[2025-09-07 18:49:45,737] 78 root INFO - exporting 
[2025-09-07 18:49:45,808] 21 root INFO - Data Initilization completed
[2025-09-07 18:49:45,824] 24 root INFO - initiate data validation
[2025-09-07 18:49:45,936] 32 root INFO - Required number od columns = 2
[2025-09-07 18:49:45,936] 33 root INFO - Data frame as columns:31
[2025-09-07 18:49:45,936] 32 root INFO - Required number od columns = 2
[2025-09-07 18:49:45,936] 33 root INFO - Data frame as columns:31
[2025-09-07 18:49:46,188] 27 root INFO - initiate the data validation
[2025-09-07 18:49:46,210] 30 root INFO - Entered get data_transformer_obj method of transformation class
[2025-09-07 18:49:46,210] 35 root INFO - initialized KNN Imputer
