[2025-09-07 18:24:22,965] 18 root INFO - Initiate the data ingestion
[2025-09-07 18:24:24,812] 68 root INFO - Performed train test split on dataframe
[2025-09-07 18:24:24,812] 70 root INFO - Exited split_data_as_train_test methos of Data_Ingestion class
[2025-09-07 18:24:24,812] 78 root INFO - exporting 
[2025-09-07 18:24:24,919] 21 root INFO - Data Initilization completed
[2025-09-07 18:24:24,937] 24 root INFO - initiate data validation
[2025-09-07 18:24:25,023] 32 root INFO - Required number od columns = 2
[2025-09-07 18:24:25,023] 33 root INFO - Data frame as columns:31
[2025-09-07 18:24:25,052] 32 root INFO - Required number od columns = 2
[2025-09-07 18:24:25,052] 33 root INFO - Data frame as columns:31
[2025-09-07 18:24:25,202] 27 root INFO - initiate the data validation
[2025-09-07 18:24:25,219] 30 root INFO - Entered get data_transformer_obj method of transformation class
[2025-09-07 18:24:25,219] 35 root INFO - initialized KNN Imputer
