[2025-09-07 20:38:31,918] 18 root INFO - Initiate the data ingestion
[2025-09-07 20:38:34,366] 68 root INFO - Performed train test split on dataframe
[2025-09-07 20:38:34,366] 70 root INFO - Exited split_data_as_train_test methos of Data_Ingestion class
[2025-09-07 20:38:34,367] 78 root INFO - exporting 
[2025-09-07 20:38:34,479] 21 root INFO - Data Initilization completed
[2025-09-07 20:38:34,491] 24 root INFO - initiate data validation
[2025-09-07 20:38:34,617] 32 root INFO - Required number od columns = 2
[2025-09-07 20:38:34,618] 33 root INFO - Data frame as columns:31
[2025-09-07 20:38:34,618] 32 root INFO - Required number od columns = 2
[2025-09-07 20:38:34,619] 33 root INFO - Data frame as columns:31
[2025-09-07 20:38:34,868] 27 root INFO - initiate the data validation
[2025-09-07 20:38:34,908] 30 root INFO - Entered get data_transformer_obj method of transformation class
[2025-09-07 20:38:34,908] 35 root INFO - initialized KNN Imputer
[2025-09-07 20:45:58,457] 36 root INFO - Model Training artifact created
