[2025-09-07 18:44:21,720] 18 root INFO - Initiate the data ingestion
[2025-09-07 18:44:23,765] 68 root INFO - Performed train test split on dataframe
[2025-09-07 18:44:23,765] 70 root INFO - Exited split_data_as_train_test methos of Data_Ingestion class
[2025-09-07 18:44:23,765] 78 root INFO - exporting 
[2025-09-07 18:44:23,830] 21 root INFO - Data Initilization completed
[2025-09-07 18:44:23,848] 24 root INFO - initiate data validation
[2025-09-07 18:44:23,981] 32 root INFO - Required number od columns = 2
[2025-09-07 18:44:23,981] 33 root INFO - Data frame as columns:31
[2025-09-07 18:44:23,981] 32 root INFO - Required number od columns = 2
[2025-09-07 18:44:23,981] 33 root INFO - Data frame as columns:31
[2025-09-07 18:44:24,249] 27 root INFO - initiate the data validation
[2025-09-07 18:44:24,300] 30 root INFO - Entered get data_transformer_obj method of transformation class
[2025-09-07 18:44:24,303] 35 root INFO - initialized KNN Imputer
