[2025-09-07 18:41:16,002] 18 root INFO - Initiate the data ingestion
[2025-09-07 18:41:18,011] 68 root INFO - Performed train test split on dataframe
[2025-09-07 18:41:18,011] 70 root INFO - Exited split_data_as_train_test methos of Data_Ingestion class
[2025-09-07 18:41:18,025] 78 root INFO - exporting 
[2025-09-07 18:41:18,104] 21 root INFO - Data Initilization completed
[2025-09-07 18:41:18,107] 24 root INFO - initiate data validation
[2025-09-07 18:41:18,239] 32 root INFO - Required number od columns = 2
[2025-09-07 18:41:18,239] 33 root INFO - Data frame as columns:31
[2025-09-07 18:41:18,239] 32 root INFO - Required number od columns = 2
[2025-09-07 18:41:18,239] 33 root INFO - Data frame as columns:31
[2025-09-07 18:41:18,489] 27 root INFO - initiate the data validation
[2025-09-07 18:41:18,516] 30 root INFO - Entered get data_transformer_obj method of transformation class
[2025-09-07 18:41:18,517] 35 root INFO - initialized KNN Imputer
