[2025-09-02 17:48:28,475] 16 root INFO - Initiate the data ingestion
[2025-09-02 17:48:30,623] 68 root INFO - Performed train test split on dataframe
[2025-09-02 17:48:30,623] 70 root INFO - Exited split_data_as_train_test methos of Data_Ingestion class
[2025-09-02 17:48:30,624] 78 root INFO - exporting 
[2025-09-02 17:48:30,698] 19 root INFO - Data Initilization completed
[2025-09-02 17:48:30,706] 22 root INFO - initiate data validation
[2025-09-02 17:48:30,800] 32 root INFO - Required number od columns = 2
[2025-09-02 17:48:30,801] 33 root INFO - Data frame as columns:31
[2025-09-02 17:48:30,824] 32 root INFO - Required number od columns = 2
[2025-09-02 17:48:30,824] 33 root INFO - Data frame as columns:31
[2025-09-02 17:48:31,006] 25 root INFO - initiate the data validation
[2025-09-02 17:48:31,026] 30 root INFO - Entered get data_transformer_obj method of transformation class
[2025-09-02 17:48:31,026] 35 root INFO - initialized KNN Imputer
