[2025-09-07 18:36:30,349] 18 root INFO - Initiate the data ingestion
[2025-09-07 18:36:32,394] 68 root INFO - Performed train test split on dataframe
[2025-09-07 18:36:32,394] 70 root INFO - Exited split_data_as_train_test methos of Data_Ingestion class
[2025-09-07 18:36:32,394] 78 root INFO - exporting 
[2025-09-07 18:36:32,471] 21 root INFO - Data Initilization completed
[2025-09-07 18:36:32,488] 24 root INFO - initiate data validation
[2025-09-07 18:36:32,593] 32 root INFO - Required number od columns = 2
[2025-09-07 18:36:32,593] 33 root INFO - Data frame as columns:31
[2025-09-07 18:36:32,623] 32 root INFO - Required number od columns = 2
[2025-09-07 18:36:32,623] 33 root INFO - Data frame as columns:31
[2025-09-07 18:36:32,877] 27 root INFO - initiate the data validation
[2025-09-07 18:36:32,921] 30 root INFO - Entered get data_transformer_obj method of transformation class
[2025-09-07 18:36:32,921] 35 root INFO - initialized KNN Imputer
