[2025-09-02 17:58:11,109] 16 root INFO - Initiate the data ingestion
[2025-09-02 17:58:13,210] 68 root INFO - Performed train test split on dataframe
[2025-09-02 17:58:13,218] 70 root INFO - Exited split_data_as_train_test methos of Data_Ingestion class
[2025-09-02 17:58:13,218] 78 root INFO - exporting 
[2025-09-02 17:58:13,339] 19 root INFO - Data Initilization completed
[2025-09-02 17:58:13,350] 22 root INFO - initiate data validation
[2025-09-02 17:58:13,457] 32 root INFO - Required number od columns = 2
[2025-09-02 17:58:13,457] 33 root INFO - Data frame as columns:31
[2025-09-02 17:58:13,457] 32 root INFO - Required number od columns = 2
[2025-09-02 17:58:13,457] 33 root INFO - Data frame as columns:31
[2025-09-02 17:58:13,797] 25 root INFO - initiate the data validation
[2025-09-02 17:58:13,842] 30 root INFO - Entered get data_transformer_obj method of transformation class
[2025-09-02 17:58:13,842] 35 root INFO - initialized KNN Imputer
