[2025-09-07 19:18:58,535] 18 root INFO - Initiate the data ingestion
[2025-09-07 19:19:00,689] 68 root INFO - Performed train test split on dataframe
[2025-09-07 19:19:00,689] 70 root INFO - Exited split_data_as_train_test methos of Data_Ingestion class
[2025-09-07 19:19:00,689] 78 root INFO - exporting 
[2025-09-07 19:19:00,793] 21 root INFO - Data Initilization completed
[2025-09-07 19:19:00,801] 24 root INFO - initiate data validation
[2025-09-07 19:19:00,918] 32 root INFO - Required number od columns = 2
[2025-09-07 19:19:00,918] 33 root INFO - Data frame as columns:31
[2025-09-07 19:19:00,955] 32 root INFO - Required number od columns = 2
[2025-09-07 19:19:00,955] 33 root INFO - Data frame as columns:31
[2025-09-07 19:19:01,227] 27 root INFO - initiate the data validation
[2025-09-07 19:19:01,275] 30 root INFO - Entered get data_transformer_obj method of transformation class
[2025-09-07 19:19:01,275] 35 root INFO - initialized KNN Imputer
[2025-09-07 19:24:26,057] 36 root INFO - Model Training artifact created
